CHR	START	END	QVAL_LTR	CHR_OVERLAP	START_GENE	END_GENE	GENE_ID	GENE_NAME	NT_OVERLAP
chr2L	2243842	2243843	0.030773014	chr2L	2242378	2245274	FBgn0264979	CG4267	1

chr2L	2317346	2317347	2.29E-07	chr2L	2308761	2357356	FBgn0031413	CG9967	1

chr2L	2317346	2317347	2.29E-07	chr2L	2311680	2358944	FBgn0031414	eys	1

chr2L	2467700	2467701	0.041737594	.	-1	-1		.	0

chr2L	2642111	2642112	2.60E-06	.	-1	-1		.	0

chr2L	2682868	2682869	0.033487679	chr2L	2677734	2719431	FBgn0051690	CG31690	1

chr2L	2700190	2700191	0.003118158	chr2L	2677734	2719431	FBgn0051690	CG31690	1

chr2L	2825415	2825416	0.01397791	chr2L	2823546	2825506	FBgn0031465	CG3123	1

chr2L	2825415	2825416	0.01397791	chr2L	2815970	2830248	FBgn0283531	Duox	1

chr2L	2844340	2844341	0.023022143	chr2L	2842589	2844513	FBgn0031469	CG18558	1

chr2L	2853467	2853468	0.030534142	chr2L	2848989	2855778	FBgn0031473	CG3104	1

chr2L	2881484	2881485	0.000779185	chr2L	2880704	2885850	FBgn0024947	NTPase	1

chr2L	3041482	3041483	0.047651681	chr2L	3039976	3041890	FBgn0031500	CG17221	1

chr2L	3086326	3086327	0.009744165	chr2L	3068345	3144786	FBgn0015600	toc	1

chr2L	3192725	3192726	0.038580855	chr2L	3175112	3200496	FBgn0085422	CG34393	1

chr2L	3465610	3465611	0.000802296	chr2L	3462218	3466112	FBgn0005616	msl-2	1

chr2L	3575104	3575105	4.30E-05	.	-1	-1		.	0

chr2L	3616157	3616158	0.029059193	.	-1	-1		.	0

chr2L	3627142	3627143	0.049682145	chr2L	3622074	3656953	FBgn0000721	for	1

chr2L	3786083	3786084	0.049014592	chr2L	3785738	3786343	FBgn0051958	CR31958	1

chr2L	3829575	3829576	0.021313053	.	-1	-1		.	0

chr2L	3865092	3865093	0.012478875	chr2L	3862668	3867507	FBgn0031574	TTLL4B	1

chr2L	3873893	3873894	0.036874776	chr2L	3872646	3902860	FBgn0000256	capu	1

chr2L	3925455	3925456	0.049210651	chr2L	3902928	3991713	FBgn0051774	fred	1

chr2L	4217936	4217937	0.030749135	chr2L	4198404	4221796	FBgn0001075	ft	1

chr2L	4224696	4224697	0.048778406	chr2L	4224650	4227097	FBgn0031590	CG3702	1

chr2L	4278602	4278603	0.029048831	chr2L	4277696	4281324	FBgn0031592	Art2	1

chr2L	4280609	4280610	0.000300777	chr2L	4277696	4281324	FBgn0031592	Art2	1

chr2L	4407692	4407693	0.047217297	chr2L	4403992	4441282	FBgn0031602	CG15431	1

chr2L	4439705	4439706	0.012081692	chr2L	4403992	4441282	FBgn0031602	CG15431	1

chr2L	4583937	4583938	0.000338169	chr2L	4477462	4614300	FBgn0053196	dpy	1

chr2L	4949586	4949587	0.02487729	chr2L	4948206	4949784	FBgn0031652	jet	1

chr2L	5021646	5021647	0.037316725	chr2L	5012144	5028191	FBgn0016075	vkg	1

chr2L	5158907	5158908	0.015008033	chr2L	5100877	5207002	FBgn0261836	Msp300	1

chr2L	5201718	5201719	0.047079354	chr2L	5100877	5207002	FBgn0261836	Msp300	1

chr2L	5301324	5301325	0.003835824	chr2L	5288944	5311223	FBgn0016076	vri	1

chr2L	5421806	5421807	0.015786521	.	-1	-1		.	0

chr2L	5479144	5479145	0.015364075	.	-1	-1		.	0

chr2L	5479494	5479495	0.001228813	.	-1	-1		.	0

chr2L	5539614	5539615	0.03328425	chr2L	5539326	5542314	FBgn0014189	Hel25E	1

chr2L	5599314	5599315	0.02283668	.	-1	-1		.	0

chr2L	5659361	5659362	0.037868023	.	-1	-1		.	0

chr2L	5679295	5679296	0.022867942	chr2L	5678582	5679499	FBgn0031729	CG12511	1

chr2L	5715132	5715133	0.023949505	.	-1	-1		.	0

chr2L	5783767	5783768	0.042348333	chr2L	5767002	5800253	FBgn0031738	CG9171	1

chr2L	5853274	5853275	0.001339625	chr2L	5824004	5856767	FBgn0085410	TrissinR	1

chr2L	5901799	5901800	0.035776822	.	-1	-1		.	0

chr2L	5963939	5963940	0.03088347	chr2L	5963087	5964951	FBgn0086265	psd	1

chr2L	6058440	6058441	0.028309675	chr2L	6054302	6060169	FBgn0031770	CG13995	1

chr2L	6269586	6269587	3.33E-05	chr2L	6253123	6323466	FBgn0053531	Ddr	1

chr2L	6362610	6362611	0.005780505	.	-1	-1		.	0

chr2L	6371121	6371122	0.000472581	.	-1	-1		.	0

chr2L	6383125	6383126	0.038894808	chr2L	6381266	6383419	FBgn0031808	Nepl5	1

chr2L	6383125	6383126	0.038894808	chr2L	6377771	6411326	FBgn0259714	DIP-epsilon	1

chr2L	6451604	6451605	0.000448571	chr2L	6448464	6455929	FBgn0031814	retm	1

chr2L	6493771	6493772	0.049328737	chr2L	6491061	6496988	FBgn0051638	CG31638	1

chr2L	6493771	6493772	0.049328737	chr2L	6492974	6494532	FBgn0031824	CG9547	1

chr2L	6497140	6497141	0.016306889	chr2L	6497053	6498466	FBgn0031826	CG9550	1

chr2L	6666588	6666589	5.34E-33	chr2L	6666264	6668033	FBgn0263200	Galt	1

chr2L	6666588	6666589	5.34E-33	chr2L	6663664	6674780	FBgn0000392	cup	1

chr2L	6666588	6666589	5.34E-33	chr2L	6663664	6674780	FBgn0085339	CG34310	1

chr2L	6758667	6758668	0.038992495	chr2L	6757864	6759628	FBgn0031856	CG11322	1

chr2L	6762905	6762906	0.002286077	chr2L	6759829	6772755	FBgn0031857	LUBEL	1

chr2L	6819595	6819596	0.018563901	.	-1	-1		.	0

chr2L	6824629	6824630	0.037792876	chr2L	6821934	6838995	FBgn0051632	sens-2	1

chr2L	6903334	6903335	0.03755863	chr2L	6874900	6906656	FBgn0031866	Nlg2	1

chr2L	7053986	7053987	0.017789339	chr2L	7037823	7056010	FBgn0262872	milt	1

chr2L	7268054	7268055	0.002287565	chr2L	7255419	7277171	FBgn0010453	Wnt4	1

chr2L	8208526	8208527	0.030785067	chr2L	8206171	8209637	FBgn0031999	CG8419	1

chr2L	8243846	8243847	0.03839944	chr2L	8243323	8244003	FBgn0262359	CG43057	1

chr2L	8579802	8579803	0.042734602	chr2L	8542147	8672041	FBgn0011259	Sema1a	1

chr2L	8821917	8821918	0.034218844	.	-1	-1		.	0

chr2L	8902862	8902863	0.03063777	chr2L	8898786	8933594	FBgn0085427	CG34398	1

chr2L	9108623	9108624	0.000505969	.	-1	-1		.	0

chr2L	9241966	9241967	0.046516212	chr2L	9166778	9250211	FBgn0041092	tai	1

chr2L	9649745	9649746	0.049717454	chr2L	9634179	9656026	FBgn0032136	Apoltp	1

chr2L	9827706	9827707	0.040524188	chr2L	9793317	9886250	FBgn0032151	nAChRalpha6	1

chr2L	9858781	9858782	0.041328282	chr2L	9793317	9886250	FBgn0032151	nAChRalpha6	1

chr2L	10021016	10021017	0.026922744	.	-1	-1		.	0

chr2L	10047662	10047663	0.012038219	.	-1	-1		.	0

chr2L	10094576	10094577	0.034553681	chr2L	10094088	10125736	FBgn0083945	CG34109	1

chr2L	10094576	10094577	0.034553681	chr2L	10064121	10180256	FBgn0265002	CG44153	1

chr2L	10368737	10368738	0.000130329	chr2L	10368025	10373900	FBgn0041723	rho-5	1

chr2L	10369870	10369871	0.000305387	chr2L	10368025	10373900	FBgn0041723	rho-5	1

chr2L	10635866	10635867	0.029059193	chr2L	10629352	10638471	FBgn0032271	CG7329	1

chr2L	10680221	10680222	0.020683638	chr2L	10680151	10680480	FBgn0265069	lncRNA:CR44180	1

chr2L	10703987	10703988	0.030355977	chr2L	10701940	10709453	FBgn0024740	Lip2	1

chr2L	10703987	10703988	0.030355977	chr2L	10703621	10704930	FBgn0032287	CG6415	1

chr2L	10742556	10742557	0.025139492	chr2L	10740782	10743935	FBgn0032296	CG6729	1

chr2L	10860967	10860968	0.009588415	chr2L	10858536	10862006	FBgn0027363	Stam	1

chr2L	10972784	10972785	0.043461929	chr2L	10972280	10973408	FBgn0032322	CG16743	1

chr2L	10989975	10989976	0.031977278	chr2L	10989401	10997897	FBgn0026147	TTLL4A	1

chr2L	11173239	11173240	0.038221741	chr2L	11156118	11203544	FBgn0259822	Ca-beta	1

chr2L	11243733	11243734	0.040524188	chr2L	11210678	11261080	FBgn0264442	ab	1

chr2L	11315921	11315922	0.010352751	.	-1	-1		.	0

chr2L	11316485	11316486	4.09E-06	.	-1	-1		.	0

chr2L	11389877	11389878	0.037293125	chr2L	11387870	11392320	FBgn0263764	lncRNA:CR43681	1

chr2L	11413167	11413168	0.026342215	.	-1	-1		.	0

chr2L	11495767	11495768	0.020283602	.	-1	-1		.	0

chr2L	11518142	11518143	0.047079354	chr2L	11517391	11519783	FBgn0032364	CG4970	1

chr2L	11828972	11828973	0.005180818	chr2L	11827204	11829405	FBgn0000588	esc	1

chr2L	11828972	11828973	0.005180818	chr2L	11814156	11928572	FBgn0264815	Pde1c	1

chr2L	12080206	12080207	0.032369711	chr2L	12079604	12080568	FBgn0265802	lncRNA:CR44591	1

chr2L	12244680	12244681	0.031416719	chr2L	12175004	12313438	FBgn0000114	bru1	1

chr2L	12488880	12488881	0.000162194	chr2L	12455540	12546611	FBgn0259176	bun	1

chr2L	12768316	12768317	0.001140517	chr2L	12767717	12768765	FBgn0267925	lncRNA:CR46206	1

chr2L	12776458	12776459	0.000688828	.	-1	-1		.	0

chr2L	12787153	12787154	0.003254462	.	-1	-1		.	0

chr2L	12878727	12878728	0.040259802	.	-1	-1		.	0

chr2L	12903320	12903321	0.018103341	.	-1	-1		.	0

chr2L	13075000	13075001	0.047079354	.	-1	-1		.	0

chr2L	13119034	13119035	0.032336332	chr2L	13118872	13119288	FBgn0265087	lncRNA:CR44198	1

chr2L	13356808	13356809	0.047699352	.	-1	-1		.	0

chr2L	13737627	13737628	0.046337649	.	-1	-1		.	0

chr2L	13803894	13803895	0.023419267	chr2L	13803626	13809994	FBgn0027844	CAH1	1

chr2L	13894469	13894470	0.023966663	chr2L	13835564	13898712	FBgn0028509	CenG1A	1

chr2L	13965663	13965664	0.015828508	chr2L	13965012	13967018	FBgn0028543	NimB2	1

chr2L	13992981	13992982	0.04581357	chr2L	13982743	14001248	FBgn0003255	rk	1

chr2L	14193662	14193663	0.026103335	chr2L	14184478	14234126	FBgn0016930	Dyrk2	1

chr2L	14474796	14474797	0.016299548	.	-1	-1		.	0

chr2L	14483489	14483490	0.010518555	.	-1	-1		.	0

chr2L	14604100	14604101	0.033169523	chr2L	14599196	14689340	FBgn0003016	osp	1

chr2L	14947654	14947655	0.048699793	chr2L	14907489	14972300	FBgn0259213	side-II	1

chr2L	15178226	15178227	0.000314926	chr2L	15161882	15200459	FBgn0028888	CG4168	1

chr2L	15219911	15219912	0.03839944	.	-1	-1		.	0

chr2L	15324715	15324716	0.013070621	.	-1	-1		.	0

chr2L	15325079	15325080	0.015232952	.	-1	-1		.	0

chr2L	15380089	15380090	0.007507732	.	-1	-1		.	0

chr2L	15525425	15525426	0.003689896	.	-1	-1		.	0

chr2L	15733993	15733994	0.045637146	chr2L	15727581	15748150	FBgn0010382	CycE	1

chr2L	15755037	15755038	0.03088347	chr2L	15752263	15755900	FBgn0001986	Mtr4	1

chr2L	15759741	15759742	0.034192896	chr2L	15756002	15762758	FBgn0001987	Gli	1

chr2L	16340047	16340048	0.032174634	chr2L	16337989	16340368	FBgn0259151	CG42266	1

chr2L	16793132	16793133	0.019078012	chr2L	16791568	16793444	FBgn0032603	CG17928	1

chr2L	16888644	16888645	0.042966431	chr2L	16888507	16889530	FBgn0265542	lncRNA:CR44392	1

chr2L	16888644	16888645	0.042966431	chr2L	16888490	16917052	FBgn0261671	tweek	1

chr2L	17135027	17135028	0.023746276	chr2L	17131024	17173118	FBgn0083942	CG34106	1

chr2L	17135027	17135028	0.023746276	chr2L	17131024	17173118	FBgn0265607	beat-IIIa	1

chr2L	17239665	17239666	0.034337891	chr2L	17187637	17260734	FBgn0032629	beat-IIIc	1

chr2L	17499088	17499089	0.042048417	.	-1	-1		.	0

chr2L	17712833	17712834	0.022271214	chr2L	17647053	17778340	FBgn0015609	CadN	1

chr2L	18652501	18652502	0.035411181	chr2L	18651058	18653010	FBgn0032693	Cyp310a1	1

chr2L	18652501	18652502	0.035411181	chr2L	18617256	18661776	FBgn0032694	MESR3	1

chr2L	18833414	18833415	0.00988282	chr2L	18831229	18833630	FBgn0015808	ScpX	1

chr2L	19017535	19017536	0.033487679	.	-1	-1		.	0

chr2L	19208454	19208455	0.006540139	chr2L	19190342	19208621	FBgn0015380	drl	1

chr2L	19382990	19382991	0.045519412	chr2L	19380930	19383093	FBgn0032772	CG17350	1

chr2L	19424533	19424534	0.016128887	chr2L	19424050	19429224	FBgn0032779	Alp12	1

chr2L	19424533	19424534	0.016128887	chr2L	19424050	19430270	FBgn0032780	CG13085	1

chr2L	19424533	19424534	0.016128887	chr2L	19400753	19426596	FBgn0041789	Pax	1

chr2L	19434873	19434874	0.029059193	chr2L	19432574	19435841	FBgn0032782	Rab9	1

chr2L	19884054	19884055	0.021947417	chr2L	19796365	19958424	FBgn0263873	sick	1

chr2L	20108066	20108067	1.51E-11	.	-1	-1		.	0

chr2L	20109294	20109295	0.010855815	.	-1	-1		.	0

chr2L	20113622	20113623	8.35E-06	.	-1	-1		.	0

chr2L	20258173	20258174	0.018107447	.	-1	-1		.	0

chr2L	20300095	20300096	0.026605167	.	-1	-1		.	0

chr2L	20333210	20333211	6.17E-05	chr2L	20311219	20348386	FBgn0003475	spir	1

chr2L	20350889	20350890	0.000297238	chr2L	20350434	20365254	FBgn0015803	RtGEF	1

chr2L	20717442	20717443	0.011544252	.	-1	-1		.	0

chr2L	20765565	20765566	0.013718676	chr2L	20758144	20768053	FBgn0011202	dia	1

chr2L	21028909	21028910	0.040524188	chr2L	20965520	21052164	FBgn0250867	CG42238	1

chr2L	21287344	21287345	0.037405048	chr2L	21286078	21310050	FBgn0032940	Mondo	1

chr2L	21554256	21554257	1.85E-13	.	-1	-1		.	0

chr2L	22242675	22242676	0.045519412	chr2L	22239916	22246988	FBgn0032986	CG3262	1

chr2L	22588962	22588963	0.014574237	.	-1	-1		.	0

chr2L	23043940	23043941	1.84E-08	.	-1	-1		.	0

chr2L	23044027	23044028	6.45E-69	.	-1	-1		.	0

chr2L	23129053	23129054	0.004048325	.	-1	-1		.	0

chr2L	23191448	23191449	0.029042506	.	-1	-1		.	0

chr2L	23224938	23224939	6.77E-13	.	-1	-1		.	0

chr2L	23225633	23225634	0.029048831	.	-1	-1		.	0

chr2L	23228962	23228963	0.045376341	.	-1	-1		.	0

chr2L	23239385	23239386	0.009531002	chr2L	23239253	23240411	FBgn0267986	lncRNA:CR46253	1

chr2L	23328033	23328034	5.81E-15	.	-1	-1		.	0

chr2L	23461325	23461326	0.029466071	.	-1	-1		.	0

chr2L	23490743	23490744	0.042889994	.	-1	-1		.	0

chr2R	324904	324905	0.010518555	.	-1	-1		.	0

chr2R	583558	583559	5.86E-06	chr2R	326768	705848	FBgn0267428	CG45781	1

chr2R	588858	588859	0.020498198	chr2R	326768	705848	FBgn0267428	CG45781	1

chr2R	707587	707588	0.004085298	.	-1	-1		.	0

chr2R	893000	893001	0.023231102	.	-1	-1		.	0

chr2R	1097812	1097813	3.49E-09	chr2R	1071462	1125927	FBgn0003256	rl	1

chr2R	1275361	1275362	0.022450451	.	-1	-1		.	0

chr2R	1360062	1360063	0.000348183	chr2R	1349392	1443935	FBgn0262123	l(2)41Ab	1

chr2R	1415139	1415140	0.000349761	chr2R	1349392	1443935	FBgn0262123	l(2)41Ab	1

chr2R	1415999	1416000	1.01E-05	chr2R	1349392	1443935	FBgn0262123	l(2)41Ab	1

chr2R	1625268	1625269	0.011703729	.	-1	-1		.	0

chr2R	2138626	2138627	1.35E-05	chr2R	1866080	2262115	FBgn0263780	CG17684	1

chr2R	2354869	2354870	0.002060458	.	-1	-1		.	0

chr2R	2510512	2510513	7.95E-05	chr2R	2494742	2565385	FBgn0058263	MFS17	1

chr2R	2668277	2668278	5.04E-09	.	-1	-1		.	0

chr2R	2710370	2710371	0.000189039	.	-1	-1		.	0

chr2R	2710598	2710599	0.002060458	.	-1	-1		.	0

chr2R	2914131	2914132	0.020642529	.	-1	-1		.	0

chr2R	3052267	3052268	4.14E-08	.	-1	-1		.	0

chr2R	3065108	3065109	0.000265584	.	-1	-1		.	0

chr2R	3076277	3076278	0.023231102	chr2R	3066499	3191011	FBgn0260995	dpr21	1

chr2R	3669705	3669706	0.005791837	.	-1	-1		.	0

chr2R	3694119	3694120	0.001108129	.	-1	-1		.	0

chr2R	3694325	3694326	0.031002316	.	-1	-1		.	0

chr2R	3872526	3872527	0.049024096	.	-1	-1		.	0

chr2R	3957357	3957358	0.008367597	.	-1	-1		.	0

chr2R	4211919	4211920	4.77E-11	.	-1	-1		.	0

chr2R	4212019	4212020	2.00E-09	.	-1	-1		.	0

chr2R	4299785	4299786	0.000653305	.	-1	-1		.	0

chr2R	4524258	4524259	1.13E-05	.	-1	-1		.	0

chr2R	4529104	4529105	0.041385041	.	-1	-1		.	0

chr2R	4530207	4530208	7.56E-06	.	-1	-1		.	0

chr2R	4530961	4530962	5.93E-05	.	-1	-1		.	0

chr2R	4555207	4555208	7.68E-47	chr2R	4546691	4565281	FBgn0046692	Stlk	1

chr2R	4567045	4567046	5.62E-09	.	-1	-1		.	0

chr2R	4632144	4632145	1.60E-22	.	-1	-1		.	0

chr2R	4779892	4779893	0.000578249	.	-1	-1		.	0

chr2R	4779924	4779925	0.004605077	.	-1	-1		.	0

chr2R	4834316	4834317	1.42E-07	.	-1	-1		.	0

chr2R	4834362	4834363	0.002298339	.	-1	-1		.	0

chr2R	4849215	4849216	0.03106488	.	-1	-1		.	0

chr2R	4851096	4851097	1.81E-08	.	-1	-1		.	0

chr2R	4856456	4856457	0.00614256	.	-1	-1		.	0

chr2R	4863145	4863146	0.047079354	.	-1	-1		.	0

chr2R	4864298	4864299	0.020744868	.	-1	-1		.	0

chr2R	4873426	4873427	0.001973186	.	-1	-1		.	0

chr2R	5054623	5054624	8.43E-34	.	-1	-1		.	0

chr2R	5102300	5102301	1.79E-24	.	-1	-1		.	0

chr2R	5393803	5393804	2.07E-09	.	-1	-1		.	0

chr2R	5501140	5501141	0.002637503	chr2R	5496674	5549543	FBgn0050438	CG30438	1

chr2R	5628607	5628608	3.75E-43	.	-1	-1		.	0

chr2R	5750933	5750934	0.016257084	.	-1	-1		.	0

chr2R	5832560	5832561	0.018924732	chr2R	5804712	5860831	FBgn0085414	dpr12	1

chr2R	6310195	6310196	0.021507664	.	-1	-1		.	0

chr2R	6425484	6425485	3.80E-06	.	-1	-1		.	0

chr2R	6436720	6436721	1.40E-13	.	-1	-1		.	0

chr2R	6437615	6437616	1.25E-09	.	-1	-1		.	0

chr2R	6437891	6437892	1.01E-09	.	-1	-1		.	0

chr2R	6529172	6529173	0.030749135	chr2R	6502006	6621792	FBgn0086655	jing	1

chr2R	6541242	6541243	0.027112497	chr2R	6502006	6621792	FBgn0086655	jing	1

chr2R	6542213	6542214	0.026497722	chr2R	6502006	6621792	FBgn0086655	jing	1

chr2R	6966763	6966764	0.02472167	chr2R	6924687	6971637	FBgn0053558	mim	1

chr2R	6966763	6966764	0.02472167	chr2R	6944614	6971637	FBgn0066292	CheB42c	1

chr2R	7110229	7110230	0.044040751	chr2R	7086316	7127868	FBgn0263934	esn	1

chr2R	7123522	7123523	0.03651334	chr2R	7086316	7127868	FBgn0263934	esn	1

chr2R	7152999	7153000	0.033772051	chr2R	7151662	7153642	FBgn0024293	Spn43Ab	1

chr2R	7152999	7153000	0.033772051	chr2R	7150703	7223378	FBgn0003090	pk	1

chr2R	7235086	7235087	0.026498232	.	-1	-1		.	0

chr2R	7315329	7315330	0.023885302	.	-1	-1		.	0

chr2R	7315356	7315357	0.009787281	.	-1	-1		.	0

chr2R	7327055	7327056	0.003340687	chr2R	7325896	7335195	FBgn0266622	asRNA:CR45129	1

chr2R	7327055	7327056	0.003340687	chr2R	7317924	7381899	FBgn0033159	Dscam1	1

chr2R	7684596	7684597	0.022989115	chr2R	7676540	7698902	FBgn0033212	LRR	1

chr2R	7689025	7689026	0.02256539	chr2R	7676540	7698902	FBgn0033212	LRR	1

chr2R	8011127	8011128	0.015828508	chr2R	8009119	8013755	FBgn0033250	CG14762	1

chr2R	8043776	8043777	0.045400533	.	-1	-1		.	0

chr2R	8205395	8205396	0.01037744	chr2R	8204888	8205706	FBgn0033275	CG14756	1

chr2R	8205395	8205396	0.01037744	chr2R	8174165	8226438	FBgn0053087	LRP1	1

chr2R	8368618	8368619	0.030218809	chr2R	8368344	8370038	FBgn0033286	CG2127	1

chr2R	8368618	8368619	0.030218809	chr2R	8327490	8396280	FBgn0261588	pdm3	1

chr2R	8404083	8404084	0.005780505	chr2R	8396397	8411767	FBgn0033289	CG2121	1

chr2R	8746560	8746561	0.034685125	chr2R	8735810	8759590	FBgn0027585	CG8740	1

chr2R	8835451	8835452	0.011521635	chr2R	8798489	8856091	FBgn0024189	sns	1

chr2R	8985291	8985292	0.023002899	chr2R	8969346	8985900	FBgn0033359	lint	1

chr2R	9008033	9008034	0.042048417	chr2R	9007234	9013526	FBgn0033362	CG8172	1

chr2R	9140688	9140689	0.04748869	chr2R	9138486	9141981	FBgn0028955	CG8788	1

chr2R	9140688	9140689	0.04748869	chr2R	9138486	9141981	FBgn0265313	CG44286	1

chr2R	9303874	9303875	0.048649427	chr2R	9302823	9308722	FBgn0033402	Myd88	1

chr2R	9410551	9410552	0.020481452	chr2R	9400531	9413463	FBgn0016078	wun	1

chr2R	9533190	9533191	0.047083368	chr2R	9503765	9541565	FBgn0259246	brp	1

chr2R	9632877	9632878	0.024684202	chr2R	9611139	9683858	FBgn0033438	Mmp2	1

chr2R	9831217	9831218	0.049785573	chr2R	9828104	9836642	FBgn0033448	hebe	1

chr2R	9853953	9853954	0.000751578	chr2R	9850703	9861543	FBgn0027580	PCB	1

chr2R	10069607	10069608	0.029906967	chr2R	10069106	10071067	FBgn0033481	CG12920	1

chr2R	10173673	10173674	0.027684669	chr2R	10145897	10192394	FBgn0033494	KCNQ	1

chr2R	10419064	10419065	9.23E-07	chr2R	10418718	10419761	FBgn0033518	Prx2540-2	1

chr2R	10505541	10505542	0.029701024	chr2R	10481894	10543291	FBgn0283521	lola	1

chr2R	10658284	10658285	0.011173126	.	-1	-1		.	0

chr2R	10719981	10719982	0.014241654	chr2R	10673345	10721138	FBgn0024836	stan	1

chr2R	10876030	10876031	0.009420407	chr2R	10875748	10877296	FBgn0263510	nclb	1

chr2R	10974356	10974357	0.003403993	.	-1	-1		.	0

chr2R	11007117	11007118	0.011503226	chr2R	10977956	11116378	FBgn0040765	luna	1

chr2R	11074771	11074772	0.023885302	chr2R	10977956	11116378	FBgn0040765	luna	1

chr2R	11239893	11239894	0.003190301	chr2R	11239494	11240114	FBgn0033592	CG13215	1

chr2R	11459087	11459088	0.045740691	chr2R	11452043	11465270	FBgn0000581	E(Pc)	1

chr2R	11491948	11491949	0.006311446	chr2R	11474465	11509695	FBgn0001269	inv	1

chr2R	11501713	11501714	0.026300888	chr2R	11474465	11509695	FBgn0001269	inv	1

chr2R	11671059	11671060	0.006921836	chr2R	11665768	11674782	FBgn0050035	Tret1-1	1

chr2R	11671059	11671060	0.006921836	chr2R	11652756	11679354	FBgn0044020	Roc2	1

chr2R	12041473	12041474	0.040993744	chr2R	12039041	12042623	FBgn0004463	RpIII128	1

chr2R	12075752	12075753	0.043461558	chr2R	12064565	12079543	FBgn0033679	CG8888	1

chr2R	12096228	12096229	0.024842027	chr2R	12085194	12119340	FBgn0086677	jeb	1

chr2R	12116036	12116037	0.004520809	chr2R	12085194	12119340	FBgn0086677	jeb	1

chr2R	12188720	12188721	0.002132535	chr2R	12188338	12190377	FBgn0033696	Cyp6g2	1

chr2R	12404229	12404230	8.19E-05	chr2R	12402216	12405108	FBgn0033728	Cpr49Ae	1

chr2R	12420947	12420948	0.044027183	chr2R	12420475	12422535	FBgn0033733	CG8834	1

chr2R	12494465	12494466	0.026922744	chr2R	12487451	12507333	FBgn0045063	fdl	1

chr2R	12696098	12696099	0.021541654	.	-1	-1		.	0

chr2R	12731426	12731427	0.032810899	chr2R	12705172	12751545	FBgn0261545	CG42663	1

chr2R	12734561	12734562	0.043742411	chr2R	12705172	12751545	FBgn0261545	CG42663	1

chr2R	12741640	12741641	0.030486891	chr2R	12705172	12751545	FBgn0261545	CG42663	1

chr2R	12751644	12751645	0.029041374	chr2R	12751483	12752936	FBgn0033773	Mos	1

chr2R	12850043	12850044	0.044008618	chr2R	12849358	12869423	FBgn0033777	CG17574	1

chr2R	12875644	12875645	0.019705722	chr2R	12875164	12876966	FBgn0025692	Lfg	1

chr2R	12875644	12875645	0.019705722	chr2R	12875164	12877280	FBgn0263445	asRNA:CR43468	1

chr2R	12876728	12876729	0.029514506	chr2R	12875164	12876966	FBgn0025692	Lfg	1

